XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1399119.24320303,5514252.84489090,156,38016,1.000000,19.000000,019,Ajax,Ajax,3146.706025,574543.583574
1397918.50482145,5513788.26014284,157,38017,1.000000,20.000000,020,Ajax,Ajax,6071.939628,1885213.536490
1401840.87062367,5516089.37526487,158,38018,1.000000,16.000000,016,Ajax,Ajax,12634.481919,6258325.558870
1400430.11224942,5517289.37826326,159,38019,1.000000,5.000000,005,Ajax,Ajax,10319.886249,3674089.658380
1400913.29340359,5512919.53992305,160,38020,1.000000,30.000000,030,Ajax,Ajax,1704.522961,127872.064931
1399654.69331599,5512673.84912937,161,38021,1.000000,21.000000,021,Ajax,Ajax,17704.759373,6026985.854040
1399070.78616809,5516346.74671863,162,38022,1.000000,9.000000,009,Ajax,Ajax,3831.235405,889731.116407
1403218.97949260,5512385.25121132,163,38023,1.000000,24.000000,024,Ajax,Ajax,5257.041163,1438009.417090
1399925.45030159,5510972.50792865,164,38024,1.000000,29.000000,029,Ajax,Ajax,7878.800099,2114695.786650
1399740.06948959,5516443.20062124,165,38025,1.000000,8.000000,008,Ajax,Ajax,4069.767167,703246.685377
1400544.67619196,5512985.48518507,166,38026,1.000000,704.000000,704,Ajax,Ajax,340.126145,6327.709050
1400135.37529346,5514017.81805768,167,38027,1.000000,703.000000,703,Ajax,Ajax,564.705001,16423.571079
1401660.62452004,5511854.34870963,168,38028,1.000000,26.000000,026,Ajax,Ajax,6754.080159,1655711.287280
1403213.38082370,5513734.92060474,169,38029,1.000000,25.000000,025,Ajax,Ajax,11106.253693,4989269.223180
1397438.24260425,5518178.96945193,170,38030,1.000000,2.000000,002,Ajax,Ajax,12095.105392,3279945.974690
1399211.91414975,5518540.20661843,171,38031,1.000000,6.000000,006,Ajax,Ajax,3793.999742,787636.042079
1396325.12003164,5517562.23036002,172,38032,1.000000,1.000000,001,Ajax,Ajax,17317.581058,7661239.998790
1401139.27465718,5511529.18466242,173,38033,1.000000,27.000000,027,Ajax,Ajax,5035.337250,569880.702233
1398605.39642630,5515231.89135929,174,38034,1.000000,14.000000,014,Ajax,Ajax,4774.971085,921964.969260
1401296.31939366,5518844.54370109,175,38035,1.000000,4.000000,004,Ajax,Ajax,7427.570883,3216566.535840
1399419.12553606,5520118.07562116,176,38036,1.000000,3.000000,003,Ajax,Ajax,14778.321774,9741255.056110
1400963.47251482,5511748.99114288,177,38037,1.000000,707.000000,707,Ajax,Ajax,553.735430,13376.952811
1398377.80110546,5516790.29788795,178,38038,1.000000,700.000000,700,Ajax,Ajax,507.869935,15081.643065
1399775.60026068,5515526.28800543,179,38039,1.000000,702.000000,702,Ajax,Ajax,415.069892,9554.749886
1344572.64967648,5566450.96778228,180,38040,4.000000,10.000000,010,Barrie—Innisfil,Barrie—Innisfil,12784.972588,6232874.036180
1343592.32453909,5568269.16110775,181,38041,4.000000,3.000000,003,Barrie—Innisfil,Barrie—Innisfil,10180.115830,2979123.175590
1342106.14736789,5565107.49749462,182,38042,4.000000,706.000000,706,Barrie—Innisfil,Barrie—Innisfil,542.514081,10907.776240
